"","X2011","X2012","X2013","X2014","X2015","Full_FIPS","County_Name","State","Pop","No_HS","No_Dip","HS","No_Deg","Associates","Bachelors","Grad","Med_Age","House_Income","Total.Vote","Obama","Romney","GHI_avg.y","count"
"1",5.76,30.44,30.44,32.94,32.94,2090,"Fairbanks North Star Borough","Alaska",60737,990,2398,14240,18317,5512,11957,7323,30.4,35582,NA,NA,NA,2.5624584851767,0
"2",2.88,6.88,10.72,10.72,10.72,2170,"Matanuska-Susitna Borough","Alaska",60694,1143,3559,19183,18578,5643,8292,4296,34.6,31098,NA,NA,NA,2.5624584851767,0
"3",1.65,1.65,1.65,1.65,1.65,2240,"Southeast Fairbanks Census Area","Alaska",4450,95,255,1477,1343,483,538,259,35.8,2117,NA,NA,NA,2.5624584851767,0
"4",4.3,4.3,4.3,4.3,4.3,2290,"Yukon-Koyukuk Census Area","Alaska",3543,284,345,1420,931,167,261,135,35,1982,NA,NA,NA,2.5624584851767,0
"5",3,3,3,3,3,1013,"Butler County","Alabama",13996,1064,2038,5274,2431,1157,1173,859,40.5,8056,9502,4374,5087,4.35461538461538,0
"6",4.56,4.56,4.56,4.56,4.56,1017,"Chambers County","Alabama",23814,1487,3532,9140,5051,1845,1800,959,43,13787,14629,6871,7626,4.35461538461538,1
"7",8,8,8,8,8,1027,"Clay County","Alabama",9535,1009,1368,3460,2004,780,552,362,43.8,5419,6679,1777,4817,4.35461538461538,0
"8",2,2,2,2,2,1033,"Colbert County","Alabama",38008,1727,4409,13131,8844,2834,4299,2764,42.2,22204,23444,9166,13936,4.35461538461538,0
"9",4,4,4,4,4,1043,"Cullman County","Alabama",55773,3560,6565,19331,12247,5947,5092,3031,40.5,31287,34555,5052,28999,4.35461538461538,0
"10",8.4,8.4,8.4,8.4,8.4,1071,"Jackson County","Alabama",37190,2999,5609,14819,6147,2988,2876,1752,42.2,20431,20632,5822,14439,4.35461538461538,0
"11",5.64,5.64,5.64,5.64,5.64,1073,"Jefferson County","Alabama",444969,14336,37102,117727,104531,34251,82971,54051,37.4,260929,304523,159876,141683,4.35461538461538,3
"12",6,6,6,6,6,1077,"Lauderdale County","Alabama",62870,3138,6733,21416,14170,3703,8049,5661,41.1,38612,37032,12511,23911,4.35461538461538,0
"13",0,0,0,0,6.76,1089,"Madison County","Alabama",233276,6400,15279,49752,50606,19403,57690,34146,37.8,137767,155428,62015,90884,4.35461538461538,1
"14",3,3,3,3,3,1103,"Morgan County","Alabama",81977,5034,9073,25383,18903,6112,11783,5689,39.5,46235,49459,13439,35391,4.35461538461538,3
"15",6,6,6,6,6,1113,"Russell County","Alabama",38172,2493,4260,12000,9348,3548,4070,2453,34.8,22241,18910,10500,8278,4.35461538461538,0
"16",13.505,13.505,13.505,13.505,13.505,5005,"Baxter County","Arkansas",31405,1359,2586,11171,8216,2460,4101,1512,51.5,18164,19339,5172,13688,4.25,0
"17",52.02,52.02,52.02,52.02,52.02,5007,"Benton County","Arkansas",154240,9464,10908,47498,31343,8501,30635,15891,35,85670,79257,22636,54646,4.25,0
"18",18.8,18.8,18.8,18.8,18.8,5009,"Boone County","Arkansas",25902,1368,2315,9296,7161,1945,2421,1396,41.4,14961,15391,3772,11159,4.25,0
"19",3.04,3.04,3.04,3.04,3.04,5011,"Bradley County","Arkansas",7649,536,1031,3218,1529,342,706,287,40.6,4598,3652,1449,2134,4.25,0
"20",26.9,26.9,26.9,26.9,26.9,5015,"Carroll County","Arkansas",19373,1578,1681,6783,4965,1128,2032,1206,44.2,10977,10183,3696,6125,4.25,0
"21",1.8,1.8,1.8,1.8,1.8,5017,"Chicot County","Arkansas",7815,601,1047,3486,1485,332,624,240,43.4,4513,4361,2649,1670,4.25,0
"22",32.045,32.045,32.045,32.045,32.045,5033,"Crawford County","Arkansas",41042,2525,3417,15890,10135,3120,4165,1790,38.8,23649,20591,4881,15145,4.25,2
"23",15.3,15.3,15.3,15.3,15.3,5045,"Faulkner County","Arkansas",71977,2051,4526,22042,17504,5475,12955,7424,31.6,43204,41460,13621,26722,4.25,0
"24",5.6,5.6,5.6,5.6,5.6,5047,"Franklin County","Arkansas",12091,773,1390,4888,2564,988,962,526,40.4,6784,6540,1726,4631,4.25,0
"25",3.6,3.6,3.6,3.6,3.6,5049,"Fulton County","Arkansas",8973,430,874,3855,2327,532,654,301,48,5300,4522,1452,2949,4.25,0
"26",98.725,98.725,98.725,98.725,98.725,5051,"Garland County","Arkansas",69253,2738,5478,22301,18687,5247,9120,5682,44.1,40290,40728,13804,26014,4.25,0
"27",8.75,8.75,8.75,8.75,8.75,5053,"Grant County","Arkansas",12395,435,935,5348,2730,828,1411,708,39.6,6859,6479,1468,4829,4.25,0
